symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-05-10 00:00:00+00:00,96.51,97.04,95.68,95.84,1827337,46.5707889995,46.8265398871,46.1702734584,46.2474812735,3654674,0.0,1.0
HDB,2018-05-11 00:00:00+00:00,99.53,99.86,97.51,97.51,1140210,48.0280865104,48.1873276291,47.0533378441,47.0533378441,2280420,0.0,1.0
HDB,2018-05-14 00:00:00+00:00,99.95,100.72,99.33,99.52,1484878,48.2307570251,48.6023196355,47.9315767414,48.0232610219,2969756,0.0,1.0
HDB,2018-05-15 00:00:00+00:00,99.49,99.69,98.32,99.29,1008984,48.0087845566,48.1052943255,47.4442024083,47.9122747877,2017968,0.0,1.0
HDB,2018-05-16 00:00:00+00:00,98.58,99.2,98.42,99.2,556101,47.5696651079,47.8688453916,47.4924572928,47.8688453916,1112202,0.0,1.0
HDB,2018-05-17 00:00:00+00:00,97.92,99.35,97.82,98.5,547873,47.2511828705,47.9412277183,47.202927986,47.5310612004,1095746,0.0,1.0
HDB,2018-05-18 00:00:00+00:00,98.33,98.43,97.41,97.68,663044,47.4490278968,47.4972827812,47.0050829597,47.1353711477,1326088,0.0,1.0
HDB,2018-05-21 00:00:00+00:00,97.11,98.0,97.0,97.81,826304,46.8603183063,47.289786778,46.8072379334,47.1981024975,1652608,0.0,1.0
HDB,2018-05-22 00:00:00+00:00,96.06,97.2,95.79,97.2,928459,46.3536420194,46.9037477023,46.2233538313,46.9037477023,1856918,0.0,1.0
HDB,2018-05-23 00:00:00+00:00,95.59,95.6,94.11,95.26,638207,46.1268440624,46.1316695508,45.4126717722,45.9676029436,1276414,0.0,1.0
HDB,2018-05-24 00:00:00+00:00,95.98,96.52,95.45,95.45,479411,46.3150381118,46.5756144879,46.0592872241,46.0592872241,958822,0.0,1.0
HDB,2018-05-25 00:00:00+00:00,96.94,97.03,95.72,96.82,565762,46.7782850027,46.8217143987,46.1895754122,46.7203791413,1131524,0.0,1.0
HDB,2018-05-29 00:00:00+00:00,96.82,97.73,96.23,97.12,1149439,46.7203791413,47.15949859,46.435675323,46.8651437947,2298878,0.0,1.0
HDB,2018-05-30 00:00:00+00:00,105.17,105.44,97.85,97.97,2525210,50.7496619943,50.8799501824,47.2174044513,47.2753103127,5050420,0.0,1.0
HDB,2018-05-31 00:00:00+00:00,106.42,106.64,102.65,105.0,1946709,51.3528480502,51.459008796,49.5336389058,50.6676286907,3893418,0.0,1.0
HDB,2018-06-01 00:00:00+00:00,105.74,106.18,104.67,105.38,1007743,51.3012153238,51.5146873755,50.7820901073,51.1265563724,2015486,0.573,1.0
HDB,2018-06-04 00:00:00+00:00,102.73,103.59,102.13,102.99,1025881,49.840872425,50.2581132532,49.5497741727,49.9670150009,2051762,0.0,1.0
HDB,2018-06-05 00:00:00+00:00,103.18,103.63,102.36,103.18,525505,50.0591961141,50.2775198033,49.6613618361,50.0591961141,1051010,0.0,1.0
HDB,2018-06-06 00:00:00+00:00,104.95,105.07,103.05,103.45,348255,50.9179359583,50.9761556088,49.9961248262,50.1901903277,696510,0.0,1.0
HDB,2018-06-07 00:00:00+00:00,104.56,105.0,103.73,104.79,365937,50.7287220944,50.942194146,50.3260361787,50.8403097577,731874,0.0,1.0
HDB,2018-06-08 00:00:00+00:00,102.77,103.83,101.77,103.67,556150,49.8602789751,50.3745525541,49.3751152213,50.2969263535,1112300,0.0,1.0
HDB,2018-06-11 00:00:00+00:00,103.65,103.82,102.75,103.1,298126,50.2872230784,50.3697009166,49.8505757,50.0203830138,596252,0.0,1.0
HDB,2018-06-12 00:00:00+00:00,104.65,105.0,103.49,103.65,627459,50.7723868322,50.942194146,50.2095968778,50.2872230784,1254918,0.0,1.0
HDB,2018-06-13 00:00:00+00:00,102.3,103.69,101.86,103.3,814332,49.6322520108,50.3066296286,49.4187799592,50.1174157646,1628664,0.0,1.0
HDB,2018-06-14 00:00:00+00:00,101.57,102.89,101.35,102.55,514426,49.2780824706,49.9184986256,49.1713464447,49.7535429493,1028852,0.0,1.0
HDB,2018-06-15 00:00:00+00:00,101.96,102.12,101.0,101.52,543084,49.4672963345,49.5449225352,49.0015391309,49.2538242829,1086168,0.0,1.0
HDB,2018-06-18 00:00:00+00:00,104.0,105.0,101.19,101.4,816307,50.4570303922,50.942194146,49.0937202441,49.1956046324,1632614,0.0,1.0
HDB,2018-06-19 00:00:00+00:00,103.44,103.77,101.89,103.02,370488,50.1853386901,50.3454427289,49.4333348718,49.9815699135,740976,0.0,1.0
HDB,2018-06-20 00:00:00+00:00,105.18,105.34,103.23,104.29,585309,51.0295236217,51.1071498223,50.0834543018,50.5977278808,1170618,0.0,1.0
HDB,2018-06-21 00:00:00+00:00,105.19,105.54,104.51,105.1,523299,51.0343752592,51.204182573,50.7044639067,50.9907105214,1046598,0.0,1.0
HDB,2018-06-22 00:00:00+00:00,106.78,107.09,105.8,105.9,401776,51.8057856277,51.9561863914,51.330325149,51.3788415244,803552,0.0,1.0
HDB,2018-06-25 00:00:00+00:00,105.66,106.42,104.57,106.0,494034,51.2624022235,51.6311266764,50.7335737319,51.4273578998,988068,0.0,1.0
HDB,2018-06-26 00:00:00+00:00,105.61,106.07,104.9,105.63,397641,51.2381440358,51.4613193625,50.8936777706,51.2478473109,795282,0.0,1.0
HDB,2018-06-27 00:00:00+00:00,105.17,106.89,105.11,106.02,540488,51.0246719842,51.8591536406,50.9955621589,51.4370611749,1080976,0.0,1.0
HDB,2018-06-28 00:00:00+00:00,105.64,105.87,103.92,105.11,526045,51.2526989484,51.3642866118,50.4182172919,50.9955621589,1052090,0.0,1.0
HDB,2018-06-29 00:00:00+00:00,105.02,106.57,104.55,105.77,603617,50.9518974211,51.7039012394,50.7238704568,51.3157702364,1207234,0.0,1.0
HDB,2018-07-02 00:00:00+00:00,103.87,104.65,103.31,104.02,425934,50.3939591043,50.7723868322,50.1222674021,50.4667336673,851868,0.0,1.0
HDB,2018-07-03 00:00:00+00:00,104.53,105.31,103.87,103.9,392358,50.7141671817,51.0925949097,50.3939591043,50.4085140169,784716,0.0,1.0
HDB,2018-07-05 00:00:00+00:00,106.07,106.22,104.84,105.6,350422,51.4613193625,51.5340939256,50.8645679454,51.2332923983,700844,0.0,1.0
HDB,2018-07-06 00:00:00+00:00,106.22,106.55,105.58,106.18,483386,51.5340939256,51.6941979644,51.2235891232,51.5146873755,966772,0.0,1.0
