symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-06-04 00:00:00+00:00,102.73,103.59,102.13,102.99,1025881,49.3349706531,49.7479763453,49.0468271469,49.4598328391,2051762,0.0,1.0
HDB,2018-06-05 00:00:00+00:00,103.18,103.63,102.36,103.18,525505,49.5510782827,49.7671859124,49.1572821576,49.5510782827,1051010,0.0,1.0
HDB,2018-06-06 00:00:00+00:00,104.95,105.07,103.05,103.45,348255,50.401101626,50.4587303273,49.4886471897,49.6807428605,696510,0.0,1.0
HDB,2018-06-07 00:00:00+00:00,104.56,105.0,103.73,104.79,365937,50.213808347,50.4251135849,49.8152098301,50.3242633577,731874,0.0,1.0
HDB,2018-06-08 00:00:00+00:00,102.77,103.83,101.77,103.67,556150,49.3541802202,49.8632337478,48.8739410432,49.7863954795,1112300,0.0,1.0
HDB,2018-06-11 00:00:00+00:00,103.65,103.82,102.75,103.1,298126,49.7767906959,49.858431356,49.3445754366,49.5126591486,596252,0.0,1.0
HDB,2018-06-12 00:00:00+00:00,104.65,105.0,103.49,103.65,627459,50.2570298729,50.4251135849,49.6999524276,49.7767906959,1254918,0.0,1.0
HDB,2018-06-13 00:00:00+00:00,102.3,103.69,101.86,103.3,814332,49.128467807,49.796000263,48.9171625691,49.608706984,1628664,0.0,1.0
HDB,2018-06-14 00:00:00+00:00,101.57,102.89,101.35,102.55,514426,48.7778932078,49.4118089214,48.6722405888,49.2485276012,1028852,0.0,1.0
HDB,2018-06-15 00:00:00+00:00,101.96,102.12,101.0,101.52,543084,48.9651864868,49.0420247551,48.5041568769,48.7538812489,1086168,0.0,1.0
HDB,2018-06-18 00:00:00+00:00,104.0,105.0,101.19,101.4,816307,49.9448744079,50.4251135849,48.5954023205,48.6962525477,1632614,0.0,1.0
HDB,2018-06-19 00:00:00+00:00,103.44,103.77,101.89,103.02,370488,49.6759404688,49.8344193972,48.9315697444,49.4742400144,740976,0.0,1.0
